iter	Passed	Remaining
0	145	144865
1	147	73544
2	148	49513
3	150	37465
4	152	30272
5	153	25483
6	155	22049
7	156	19437
8	158	17422
9	159	15807
10	161	14494
11	162	13404
12	164	12476
13	166	11702
14	167	11015
15	169	10418
16	171	9891
17	172	9411
18	173	8983
19	175	8603
20	177	8262
21	179	7959
22	180	7668
23	181	7394
24	183	7160
25	185	6944
26	187	6759
27	189	6564
28	190	6385
29	192	6221
30	194	6066
31	195	5920
32	197	5783
33	198	5651
34	200	5529
35	202	5414
36	203	5304
37	205	5209
38	207	5111
39	208	5013
40	210	4922
41	212	4843
42	214	4777
43	216	4697
44	217	4619
45	219	4542
46	220	4476
47	222	4414
48	224	4355
49	225	4292
50	227	4232
51	229	4186
52	231	4132
53	232	4079
54	234	4030
55	235	3977
56	237	3930
57	239	3881
58	240	3839
59	242	3803
60	244	3757
61	245	3715
62	247	3673
63	248	3639
64	250	3605
65	252	3566
66	253	3530
67	255	3504
68	257	3476
69	259	3443
70	261	3416
71	262	3385
72	264	3355
73	265	3324
74	267	3295
75	269	3274
76	270	3245
77	272	3221
78	274	3195
79	275	3168
80	277	3143
81	278	3117
82	279	3085
83	280	3061
84	282	3040
85	284	3019
86	285	2996
87	287	2982
88	289	2962
89	291	2942
90	292	2924
91	294	2909
92	296	2893
93	298	2873
94	299	2854
95	301	2838
96	302	2820
97	304	2802
98	305	2784
99	307	2765
100	309	2755
101	311	2741
102	313	2730
103	315	2715
104	316	2701
105	320	2701
106	322	2688
107	329	2719
108	330	2704
109	333	2700
110	335	2684
111	337	2672
112	340	2672
113	341	2657
114	343	2643
115	345	2632
116	346	2617
117	348	2606
118	350	2594
119	351	2580
120	353	2565
121	354	2551
122	356	2538
123	357	2526
124	359	2514
125	360	2499
126	361	2484
127	363	2474
128	365	2464
129	366	2453
130	368	2441
131	370	2433
132	371	2423
133	373	2413
134	375	2403
135	377	2395
136	378	2384
137	379	2373
138	381	2362
139	382	2351
140	384	2342
141	385	2330
142	387	2320
143	388	2311
144	390	2301
145	392	2293
146	394	2287
147	395	2277
148	397	2269
149	398	2259
150	400	2251
151	402	2243
152	403	2234
153	405	2225
154	406	2217
155	408	2209
156	409	2200
157	411	2192
158	412	2184
159	414	2175
160	415	2165
161	417	2157
162	418	2148
163	419	2140
164	421	2131
165	422	2124
166	424	2117
167	426	2110
168	427	2103
169	429	2095
170	431	2090
171	432	2083
172	434	2078
173	436	2072
174	438	2067
175	440	2060
176	441	2053
177	443	2045
178	444	2038
179	446	2031
180	447	2025
181	449	2019
182	450	2011
183	452	2004
184	453	1999
185	455	1992
186	457	1986
187	458	1980
188	459	1973
189	461	1968
190	463	1962
191	464	1956
192	466	1950
193	468	1946
194	470	1942
195	472	1936
196	473	1930
197	474	1923
198	478	1926
199	480	1922
200	482	1917
201	484	1912
202	486	1909
203	488	1906
204	490	1902
205	492	1897
206	493	1891
207	495	1885
208	496	1880
209	498	1875
210	500	1870
211	501	1864
212	503	1859
213	504	1853
214	506	1850
215	508	1845
216	509	1840
217	511	1835
218	513	1832
219	515	1828
220	517	1823
221	518	1818
222	520	1813
223	522	1809
224	523	1804
225	526	1801
226	527	1797
227	529	1792
228	531	1789
229	532	1784
230	534	1778
231	535	1774
232	537	1770
233	539	1766
234	541	1762
235	542	1757
236	544	1753
237	546	1748
238	547	1743
239	549	1739
240	550	1735
241	552	1732
242	554	1728
243	556	1725
244	558	1721
245	560	1717
246	561	1713
247	563	1708
248	564	1703
249	566	1699
250	568	1695
251	569	1691
252	571	1687
253	572	1682
254	574	1678
255	575	1673
256	577	1669
257	578	1664
258	580	1662
259	583	1659
260	584	1656
261	587	1655
262	589	1652
263	591	1649
264	592	1644
265	594	1639
266	595	1635
267	597	1632
268	599	1628
269	600	1624
270	602	1620
271	604	1617
272	605	1613
273	607	1608
274	609	1605
275	610	1601
276	612	1598
277	613	1594
278	615	1589
279	616	1585
280	618	1582
281	620	1579
282	621	1575
283	623	1571
284	624	1567
285	626	1565
286	628	1561
287	629	1557
288	631	1553
289	633	1550
290	635	1547
291	637	1544
292	638	1541
293	640	1537
294	641	1533
295	643	1529
296	644	1525
297	646	1522
298	648	1520
299	650	1518
300	652	1515
301	654	1511
302	655	1508
303	657	1504
304	659	1502
305	660	1499
306	662	1495
307	664	1492
308	666	1489
309	667	1486
310	669	1482
311	670	1478
312	673	1478
313	675	1475
314	676	1472
315	678	1469
316	680	1466
317	683	1466
318	687	1467
319	689	1465
320	691	1462
321	693	1459
322	695	1457
323	697	1454
324	699	1451
325	700	1448
326	702	1446
327	704	1443
328	706	1440
329	708	1437
330	710	1436
331	712	1433
332	714	1430
333	715	1426
334	717	1424
335	718	1420
336	720	1417
337	721	1413
338	723	1410
339	725	1408
340	727	1405
341	728	1401
342	729	1398
343	731	1395
344	733	1392
345	735	1389
346	737	1388
347	739	1385
348	740	1382
349	743	1380
350	744	1377
351	746	1373
352	748	1371
353	749	1368
354	751	1364
355	752	1361
356	753	1357
357	756	1356
358	758	1353
359	759	1350
360	760	1346
361	764	1346
362	765	1343
363	767	1341
364	769	1338
365	771	1336
366	773	1333
367	774	1330
368	776	1327
369	778	1324
370	779	1321
371	780	1318
372	782	1315
373	784	1312
374	785	1309
375	787	1306
376	788	1303
377	789	1299
378	791	1296
379	793	1294
380	794	1291
381	795	1287
382	797	1285
383	799	1282
384	801	1280
385	803	1278
386	804	1274
387	806	1272
388	808	1269
389	809	1266
390	811	1263
391	813	1261
392	814	1258
393	816	1255
394	817	1252
395	819	1249
396	820	1246
397	822	1243
398	824	1241
399	826	1239
400	828	1238
401	831	1236
402	834	1235
403	835	1233
404	837	1230
405	839	1228
406	841	1226
407	843	1223
408	844	1220
409	846	1218
410	848	1215
411	850	1213
412	851	1210
413	853	1208
414	855	1205
415	856	1202
416	858	1199
417	859	1197
418	861	1194
419	863	1192
420	864	1189
421	866	1186
422	867	1183
423	869	1181
424	870	1178
425	872	1175
426	873	1172
427	874	1169
428	876	1166
429	878	1164
430	879	1161
431	881	1158
432	882	1155
433	884	1153
434	886	1150
435	887	1148
436	889	1145
437	891	1143
438	892	1140
439	894	1138
440	896	1135
441	897	1133
442	900	1131
443	901	1129
444	903	1126
445	904	1123
446	906	1121
447	908	1119
448	909	1116
449	911	1113
450	913	1111
451	915	1109
452	916	1107
453	918	1104
454	920	1102
455	922	1100
456	924	1098
457	925	1095
458	927	1092
459	928	1090
460	930	1087
461	932	1085
462	933	1082
463	934	1079
464	936	1077
465	937	1074
466	939	1071
467	940	1069
468	941	1066
469	943	1063
470	944	1061
471	946	1058
472	947	1055
473	949	1053
474	950	1050
475	952	1048
476	953	1045
477	955	1043
478	956	1040
479	958	1038
480	960	1036
481	961	1033
482	963	1031
483	964	1028
484	966	1026
485	968	1024
486	969	1021
487	971	1018
488	972	1016
489	974	1014
490	976	1011
491	977	1009
492	979	1007
493	981	1004
494	983	1003
495	984	1000
496	986	998
497	987	995
498	989	993
499	991	991
500	992	988
501	994	986
502	995	984
503	997	981
504	998	979
505	1000	976
506	1001	974
507	1003	971
508	1005	970
509	1007	968
510	1009	965
511	1011	963
512	1013	962
513	1015	960
514	1017	958
515	1019	955
516	1021	954
517	1023	952
518	1025	950
519	1027	948
520	1030	946
521	1032	945
522	1036	945
523	1039	944
524	1041	942
525	1043	940
526	1045	938
527	1047	936
528	1049	934
529	1051	932
530	1053	930
531	1056	929
532	1059	928
533	1063	927
534	1080	938
535	1085	940
536	1088	938
537	1092	938
538	1098	939
539	1101	938
540	1106	939
541	1110	938
542	1112	936
543	1114	934
544	1116	932
545	1121	932
546	1127	933
547	1129	931
548	1132	930
549	1134	928
550	1136	926
551	1138	923
552	1140	921
553	1142	919
554	1144	917
555	1147	916
556	1149	914
557	1151	912
558	1152	909
559	1155	907
560	1156	905
561	1158	902
562	1160	900
563	1161	898
564	1163	895
565	1164	892
566	1165	890
567	1167	887
568	1168	885
569	1170	883
570	1172	880
571	1174	878
572	1175	876
573	1177	874
574	1179	871
575	1180	869
576	1182	866
577	1186	866
578	1188	864
579	1192	863
580	1194	861
581	1196	859
582	1199	857
583	1200	855
584	1202	852
585	1203	850
586	1205	847
587	1206	845
588	1208	843
589	1217	845
590	1219	843
591	1220	841
592	1222	839
593	1224	836
594	1225	834
595	1226	831
596	1228	829
597	1230	827
598	1232	824
599	1233	822
600	1235	820
601	1237	818
602	1238	815
603	1240	813
604	1241	810
605	1243	808
606	1245	806
607	1247	804
608	1248	801
609	1250	799
610	1252	797
611	1254	795
612	1255	792
613	1256	790
614	1258	787
615	1259	785
616	1261	783
617	1263	780
618	1264	778
619	1266	775
620	1267	773
621	1269	771
622	1270	769
623	1272	766
624	1273	764
625	1276	762
626	1278	760
627	1279	757
628	1281	755
629	1283	753
630	1284	751
631	1286	748
632	1287	746
633	1289	744
634	1291	742
635	1293	740
636	1294	737
637	1297	736
638	1299	733
639	1300	731
640	1302	729
641	1303	726
642	1305	724
643	1306	722
644	1308	720
645	1310	717
646	1311	715
647	1314	713
648	1315	711
649	1316	709
650	1318	706
651	1320	704
652	1322	702
653	1323	700
654	1325	698
655	1327	695
656	1328	693
657	1330	691
658	1331	689
659	1333	686
660	1335	684
661	1337	682
662	1339	680
663	1340	678
664	1342	676
665	1344	674
666	1345	671
667	1347	669
668	1348	667
669	1350	665
670	1352	663
671	1353	660
672	1355	658
673	1356	656
674	1359	654
675	1360	652
676	1362	650
677	1364	647
678	1366	645
679	1368	643
680	1369	641
681	1371	639
682	1373	637
683	1374	635
684	1376	632
685	1377	630
686	1379	628
687	1383	627
688	1384	624
689	1385	622
690	1387	620
691	1390	618
692	1391	616
693	1393	614
694	1395	612
695	1397	610
696	1400	609
697	1404	607
698	1407	606
699	1409	604
700	1412	602
701	1413	600
702	1415	597
703	1416	595
704	1419	593
705	1421	591
706	1423	589
707	1425	587
708	1428	586
709	1429	583
710	1431	581
711	1433	579
712	1435	577
713	1436	575
714	1438	573
715	1439	570
716	1441	568
717	1442	566
718	1444	564
719	1445	562
720	1447	560
721	1450	558
722	1451	556
723	1453	554
724	1455	552
725	1457	549
726	1459	547
727	1460	545
728	1462	543
729	1463	541
730	1465	539
731	1467	537
732	1468	534
733	1469	532
734	1471	530
735	1473	528
736	1475	526
737	1476	524
738	1478	522
739	1481	520
740	1482	518
741	1484	516
742	1485	513
743	1488	512
744	1490	510
745	1492	508
746	1494	506
747	1496	504
748	1497	501
749	1499	499
750	1500	497
751	1503	495
752	1505	493
753	1506	491
754	1508	489
755	1511	487
756	1513	485
757	1514	483
758	1518	482
759	1520	480
760	1521	477
761	1523	475
762	1524	473
763	1526	471
764	1528	469
765	1529	467
766	1530	465
767	1532	463
768	1534	460
769	1535	458
770	1537	456
771	1538	454
772	1543	453
773	1545	451
774	1546	449
775	1548	447
776	1550	445
777	1552	442
778	1553	440
779	1555	438
780	1557	436
781	1558	434
782	1560	432
783	1562	430
784	1564	428
785	1565	426
786	1567	424
787	1568	422
788	1571	420
789	1572	418
790	1574	416
791	1576	413
792	1578	412
793	1580	410
794	1582	408
795	1584	406
796	1586	404
797	1587	401
798	1589	399
799	1591	397
800	1592	395
801	1594	393
802	1595	391
803	1597	389
804	1598	387
805	1601	385
806	1603	383
807	1605	381
808	1608	379
809	1609	377
810	1611	375
811	1612	373
812	1614	371
813	1616	369
814	1618	367
815	1619	365
816	1621	363
817	1622	361
818	1625	359
819	1626	357
820	1628	354
821	1629	352
822	1633	351
823	1634	349
824	1636	347
825	1638	345
826	1639	343
827	1642	341
828	1646	339
829	1648	337
830	1650	335
831	1652	333
832	1654	331
833	1656	329
834	1657	327
835	1661	325
836	1663	324
837	1665	322
838	1669	320
839	1671	318
840	1673	316
841	1675	314
842	1677	312
843	1679	310
844	1681	308
845	1693	308
846	1696	306
847	1699	304
848	1702	302
849	1715	302
850	1717	300
851	1720	298
852	1722	296
853	1724	294
854	1725	292
855	1727	290
856	1731	288
857	1735	287
858	1737	285
859	1739	283
860	1741	281
861	1743	279
862	1745	277
863	1752	275
864	1756	274
865	1759	272
866	1762	270
867	1765	268
868	1767	266
869	1771	264
870	1772	262
871	1774	260
872	1776	258
873	1777	256
874	1783	254
875	1785	252
876	1788	250
877	1793	249
878	1799	247
879	1801	245
880	1802	243
881	1806	241
882	1808	239
883	1810	237
884	1811	235
885	1814	233
886	1815	231
887	1818	229
888	1823	227
889	1825	225
890	1827	223
891	1830	221
892	1834	219
893	1838	217
894	1841	215
895	1845	214
896	1847	212
897	1849	210
898	1852	208
899	1854	206
900	1856	203
901	1857	201
902	1859	199
903	1861	197
904	1863	195
905	1865	193
906	1868	191
907	1869	189
908	1871	187
909	1873	185
910	1876	183
911	1877	181
912	1879	179
913	1883	177
914	1886	175
915	1888	173
916	1893	171
917	1896	169
918	1898	167
919	1899	165
920	1902	163
921	1905	161
922	1908	159
923	1909	157
924	1911	154
925	1916	153
926	1919	151
927	1921	149
928	1924	147
929	1925	144
930	1930	143
931	1932	140
932	1937	139
933	1940	137
934	1941	134
935	1944	132
936	1946	130
937	1948	128
938	1950	126
939	1952	124
940	1954	122
941	1957	120
942	1960	118
943	1961	116
944	1967	114
945	1970	112
946	1973	110
947	1976	108
948	1978	106
949	1984	104
950	1986	102
951	1988	100
952	1990	98
953	1992	96
954	1994	93
955	1996	91
956	1998	89
957	2001	87
958	2006	85
959	2008	83
960	2012	81
961	2016	79
962	2018	77
963	2020	75
964	2022	73
965	2023	71
966	2027	69
967	2031	67
968	2033	65
969	2036	62
970	2038	60
971	2042	58
972	2045	56
973	2048	54
974	2050	52
